fecha,kilowatHora,temperatura,precipitacion,humedad
7/22/2019,622.950067,14.35,0.0035,77
7/23/2019,623.363875,13.858,0.0013,53
7/24/2019,615.58004,14.225,0,60
7/25/2019,621.96308,13.833,0.0018,45
7/26/2019,615.953114,13.917,0.001,41
7/27/2019,624.109038,13.843,0.0327,37
7/28/2019,619.606201,13.842,0.0003,43
7/29/2019,624.549261,14.45,0.0008,55
7/30/2019,623.755429,14.371,0,61
7/31/2019,624.639382,14.554,0,72
8/1/2019,583.899362,14.463,0,56
8/2/2019,578.991667,14.009,0.0104,59
8/3/2019,578.309643,13.804,0,70
8/4/2019,582.696391,14.179,0,70
8/5/2019,579.349535,14.104,0,83
8/6/2019,578.974289,14.596,0.028,85
8/7/2019,578.055622,14.543,0.0262,63
8/8/2019,578.496901,13.579,0.001,57
8/9/2019,575.999622,14.352,0,72
8/10/2019,575.439416,14.05,0.0207,45
8/11/2019,575.722382,14.388,0.0004,64
8/12/2019,581.216993,14.804,0,41
8/13/2019,583.809729,14.388,0.017,37
8/14/2019,577.342786,13.563,0,34
8/15/2019,583.876764,12.946,0,49
8/16/2019,584.404732,11.683,0,43
8/17/2019,576.848405,12.827,0,47
8/18/2019,577.452894,13.789,0,30
8/19/2019,584.503269,13.36,0,28
8/20/2019,575.357471,13.187,0.0019,26
8/21/2019,578.635319,14.363,0,38
8/22/2019,587.286491,13.321,0.0067,25
8/23/2019,583.536458,15.659,0,43
8/24/2019,584.908142,14.454,0.0019,36
8/25/2019,580.3567,13.725,0,35
8/26/2019,581.238435,13.242,0.0025,34
8/27/2019,583.060932,14.35,0.0169,32
8/28/2019,576.796171,14.338,0.003,31
8/29/2019,578.072137,14.563,0,31
8/30/2019,579.474569,13.808,0.0142,32
8/31/2019,582.133809,13.763,0.003,31
9/1/2019,594.765851,14.246,0,30
9/2/2019,587.453366,14.088,0,59
9/3/2019,588.580558,14.442,0.0008,24
9/4/2019,591.809653,14.788,0.0001,58
9/5/2019,590.373664,14.525,0.0058,28
9/6/2019,589.247874,14.617,0,31
9/7/2019,593.588549,14.55,0.0044,34
9/8/2019,592.57742,14.774,0.003,38
9/9/2019,585.124628,14.329,0.1128,39
9/10/2019,590.721378,14.321,0.0103,37
9/11/2019,590.775076,14.95,0.0156,36
9/12/2019,594.077972,15.146,0.0127,33
9/13/2019,587.554473,15.3,0.055,33
9/14/2019,587.917552,14.504,0.0292,32
9/15/2019,592.61387,13.675,0,35
9/16/2019,585.694924,14.183,0.0006,45
9/17/2019,592.13802,12.246,0,59
9/18/2019,590.534058,13.848,0,59
9/19/2019,590.441728,13.4,0.0431,66
9/20/2019,591.46351,13.321,0.0103,73
9/21/2019,594.855561,14.967,0.0001,76
9/22/2019,597.259714,15.075,0.0004,79
9/23/2019,592.188423,15.271,0.0876,84
9/24/2019,594.263197,14.122,0.1134,86
9/25/2019,592.509444,14.596,0,86
9/26/2019,593.740721,13.638,0.0099,88
9/27/2019,591.830882,14.038,0.0013,91
9/28/2019,587.757762,14.3,0.0299,93
9/29/2019,594.245371,15.12,0.0314,94
9/30/2019,592.988269,11.947,0,94
10/1/2019,501.549556,13.308,0,88
10/2/2019,506.229354,12.85,0.014,84
10/3/2019,498.760371,13.996,0,82
10/4/2019,497.0835,13.887,0,76
10/5/2019,497.455081,12.896,0,70
10/6/2019,501.495747,13.563,0.0032,65
10/7/2019,505.330008,13.858,0.0159,62
10/8/2019,505.384259,13.583,0.0002,60
10/9/2019,499.269267,14.721,0.1086,72
10/10/2019,515.27534,14.238,0.0658,80
10/11/2019,503.771077,13.629,0.0217,85
10/12/2019,506.077264,12.633,0.031,88
10/13/2019,503.282434,13.388,0.3627,91
10/14/2019,498.910269,13.383,0.0012,92
10/15/2019,500.611644,14.358,0.0041,90
10/16/2019,498.861276,13.513,0.0028,88
10/17/2019,515.017049,12.958,0,90
10/18/2019,497.597331,13.379,0.0047,87
10/19/2019,506.110915,13.008,0.0004,79
10/20/2019,498.004196,13.75,0,81
10/21/2019,504.392607,14.55,0,79
10/22/2019,497.867174,14.554,0,77
10/23/2019,497.809255,14.579,0.0385,76
10/24/2019,502.622958,13.854,0.0104,75
10/25/2019,499.06361,14.292,0,82
10/26/2019,497.571656,14.717,0,76
10/27/2019,498.716557,14.142,0,62
10/28/2019,501.695897,14.446,0,53
10/29/2019,501.352756,13.688,0,48
10/30/2019,499.027663,13.979,0,42
10/31/2019,506.484009,14.587,0.1508,36
11/1/2019,474.477365,15.329,0.0319,36
11/2/2019,477.305483,15.517,0.2049,36
11/3/2019,473.369108,15.117,0.1388,41
11/4/2019,480.6669,15.213,0.0368,40
11/5/2019,476.671426,15.95,0.0041,40
11/6/2019,474.134087,14.071,0.0001,45
11/7/2019,474.835234,14.663,0,74
11/8/2019,478.727045,15.125,0,56
11/9/2019,472.697171,13.833,0,50
11/10/2019,472.333289,13.317,0.039,53
11/11/2019,481.892734,14.009,0,52
11/12/2019,481.466432,13.883,0.1385,56
11/13/2019,474.550099,14.375,0.233,56
11/14/2019,481.211721,14.975,0.0004,55
11/15/2019,477.068882,13.771,0,55
11/16/2019,476.489167,15.913,0.0006,59
11/17/2019,474.239613,14.744,0,61
11/18/2019,475.092628,13.717,0.0003,58
11/19/2019,478.989508,13.021,0,57
11/20/2019,479.665462,13.6,0.0026,58
11/21/2019,475.000744,13.971,0.0611,56
11/22/2019,481.00149,14.504,0.0404,47
11/23/2019,474.399412,15.45,0.0003,38
11/24/2019,473.478658,14.667,0,37
11/25/2019,480.863226,14.622,0.0866,41
11/26/2019,476.450499,13.938,0.0008,40
11/27/2019,474.246492,15.238,0.023,39
11/28/2019,473.848258,15.278,0.0002,45
11/29/2019,477.962264,13.879,0.0307,41
11/30/2019,478.007875,13.821,0.0073,74
12/1/2019,598.91213,13.47,0.0068,75
12/2/2019,602.248479,14.442,0,
12/3/2019,604.999429,12.842,0,
12/4/2019,599.163109,13.838,0,
12/5/2019,604.814168,13.378,0.0286,
12/6/2019,598.381464,14.105,0.069,
12/7/2019,601.11161,13.313,0.0001,
12/8/2019,605.108192,14.175,0,
12/9/2019,604.940939,13.795,0,
12/10/2019,606.907631,14.083,0,
12/11/2019,599.656688,13.517,0,
12/12/2019,597.277706,14.23,0.0002,
12/13/2019,600.850105,15.046,0.002,
12/14/2019,599.326722,14.23,0,
12/15/2019,600.576336,14.617,0,
12/16/2019,605.897661,14.975,0.0865,
12/17/2019,603.205642,15.075,0.0001,
12/18/2019,601.840192,14.771,0,
12/19/2019,598.186454,14.804,0,
12/20/2019,602.450884,15.1,0,
12/21/2019,600.23084,15.463,0.0009,
12/22/2019,598.664249,15.346,0.0006,
12/23/2019,601.212626,15.642,0.0009,
12/24/2019,605.196103,14.596,0.0011,
12/25/2019,602.605059,13.756,0.0013,
12/26/2019,601.358753,14.783,0.0015,
12/27/2019,597.516044,14.594,0.0017,
12/28/2019,618.203668,15.184,0.0019,
12/29/2019,600.17911,15.184,0.0021,
12/30/2019,605.808744,15.184,0.0024,
12/31/2019,598.222884,15.184,0.0026,
